config,test_acc,implementation,adc_bits,latency_us,throughput_inf_per_s,energy_per_inf_nJ,power_mW,area_mm2,cost_usd_per_chip,sram_KB
Corner_1_PureS5_hg2,0.6155,digital,8,474.11,2109,637431.014,1366.816,4.4692,10.94,5304.1
Corner_1_PureS5_hg2,0.6155,mixed_signal,8,275.46,3630,376813.451,1396.719,5.7525,16.41,4230.9
Corner_3p_Mambino_hg2,0.614,digital,8,539.65,1853,725721.114,1369.187,4.8770,10.94,5816.3
Corner_3p_Mambino_hg2,0.614,mixed_signal,8,177.15,5645,247579.736,1434.119,7.3148,16.41,4182.9
Config_3_PureS5_gelu,0.591,digital,8,194.93,5130,265782.041,1385.308,4.3665,10.94,5175.1
Config_3_PureS5_gelu,0.591,mixed_signal,8,30.72,32552,44257.958,1468.895,5.6412,16.41,4101.9
Config_4_Mambino_gelu,0.6055,digital,8,333.05,3003,450701.909,1377.301,4.8125,10.94,5735.3
Config_4_Mambino_gelu,0.6055,mixed_signal,8,33.02,30284,54988.382,1701.477,7.2449,16.41,4101.9
Config_5_PureS5_P16,0.583,digital,8,363.87,2748,492774.159,1380.355,5.2202,10.94,6247.3
Config_5_PureS5_P16,0.583,mixed_signal,8,31.07,32185,52726.838,1733.252,7.2449,16.41,4101.9
