config,label,family,params_band,accuracy,array_x,array_y,n_pe,energy_mJ,latency_ms,power_mW,throughput_ips,total_cycles,pj_per_real_mac,acc_per_mJ,acc_x_throughput_per_W,edp_mJ_ms,ed2p_mJ_ms2,acc_over_edp,pipe_cycles,pipe_latency_ms,pipe_power_mW,pipe_throughput_ips,pipe_edp_mJ_ms,pipe_acc_per_edp,pipe_acc_x_tps_per_W
config4,Config 4,Mambino,106K,0.5993,8,8,64,4.0468,4.8008,842.94,208.3,4800768,13.172,0.1481,148.094,19.4279,93.2694,0.030847,4800768,4.8008,842.95,208.3,19.4277,0.030848,148.092
config4,Config 4,Mambino,106K,0.5993,16,16,256,3.2054,1.5935,2011.58,627.56,1593472,10.433,0.187,186.966,5.1078,8.1393,0.11733,1593472,1.5935,2011.58,627.56,5.1077,0.117332,186.966
config4,Config 4,Mambino,106K,0.5993,32,32,1024,2.784,0.5951,4678.44,1680.47,595072,9.062,0.2153,215.265,1.6568,0.9859,0.36173,545920,0.5459,5099.65,1831.77,1.5198,0.394317,215.266
config4,Config 4,Mambino,106K,0.5993,64,64,4096,2.5736,0.2472,10412.47,4045.83,247168,8.377,0.2329,232.862,0.6362,0.1573,0.942008,185728,0.1857,13856.82,5384.22,0.478,1.253793,232.864
config5,Config 5,Pure S5,106K,0.5917,8,8,64,4.2164,5.3251,791.79,187.79,5325056,12.372,0.1403,140.335,22.4528,119.5631,0.026353,5325056,5.3251,791.8,187.79,22.4526,0.026353,140.333
config5,Config 5,Pure S5,106K,0.5917,16,16,256,3.0995,1.3313,2328.11,751.13,1331328,9.095,0.1909,190.903,4.1264,5.4934,0.143395,1331328,1.3313,2328.13,751.13,4.1265,0.143392,190.902
config5,Config 5,Pure S5,106K,0.5917,32,32,1024,2.596,0.3985,6515.04,2509.64,398464,7.618,0.2279,227.927,1.0345,0.4123,0.571964,398464,0.3985,6515.02,2509.64,1.0344,0.572015,227.928
config5,Config 5,Pure S5,106K,0.5917,64,64,4096,2.3443,0.1325,17695.88,7548.31,132480,6.879,0.2524,252.394,0.3106,0.0412,1.904901,132480,0.1325,17695.5,7548.31,0.3106,1.905189,252.399
corner1,Corner 1,Pure S5,188K,0.6089,8,8,64,5.439,6.8979,788.5,144.97,6897920,12.321,0.112,111.951,37.5177,258.7932,0.01623,6897920,6.8979,788.5,144.97,37.5178,0.01623,111.951
corner1,Corner 1,Pure S5,188K,0.6089,16,16,256,4.0476,1.8556,2181.29,538.9,1855616,9.169,0.1504,150.433,7.5107,13.9369,0.081071,1855616,1.8556,2181.27,538.9,7.5108,0.08107,150.435
corner1,Corner 1,Pure S5,188K,0.6089,32,32,1024,3.3515,0.5295,6329.18,1888.45,529536,7.592,0.1817,181.678,1.7746,0.9397,0.343116,529536,0.5295,6329.13,1888.45,1.7747,0.343093,181.68
corner1,Corner 1,Pure S5,188K,0.6089,64,64,4096,3.0038,0.1652,18177.47,6051.51,165248,6.804,0.2027,202.711,0.4962,0.082,1.227058,165248,0.1652,18177.53,6051.51,0.4964,1.226701,202.71
corner2,Corner 2,Pure S5,188K,0.5991,8,8,64,6.2466,7.9465,786.08,125.84,7946496,12.283,0.0959,95.908,49.6386,394.4532,0.012069,7946496,7.9465,786.08,125.84,49.6386,0.012069,95.908
corner2,Corner 2,Pure S5,188K,0.5991,16,16,256,4.6624,2.1833,2135.51,458.02,2183296,9.168,0.1285,128.495,10.1794,22.2247,0.058854,2183296,2.1833,2135.49,458.02,10.1794,0.058854,128.496
corner2,Corner 2,Pure S5,188K,0.5991,32,32,1024,3.8428,0.6115,6284.69,1635.44,611456,7.556,0.1559,155.902,2.3499,1.4369,0.25495,611456,0.6115,6284.67,1635.44,2.3497,0.254968,155.902
corner2,Corner 2,Pure S5,188K,0.5991,64,64,4096,3.4331,0.1857,18484.83,5384.22,185728,6.751,0.1745,174.504,0.6375,0.1184,0.939725,185728,0.1857,18484.56,5384.22,0.6376,0.939584,174.507
corner3p,Corner 3',Mambino,188K,0.6138,8,8,64,6.077,7.4222,818.76,134.73,7422208,12.793,0.101,101.004,45.1047,334.7762,0.013608,7028992,7.029,864.56,142.27,42.7152,0.01437,101.004
corner3p,Corner 3',Mambino,188K,0.6138,16,16,256,4.7684,2.4454,1949.9,408.92,2445440,10.039,0.1287,128.724,11.6606,28.5149,0.052639,2003072,2.0031,2380.54,499.23,9.5514,0.064263,128.722
corner3p,Corner 3',Mambino,188K,0.6138,32,32,1024,4.0308,0.8081,4988.23,1237.53,808064,8.486,0.1523,152.277,3.2573,2.6322,0.188439,599168,0.5992,6727.33,1668.98,2.4151,0.254148,152.277
corner3p,Corner 3',Mambino,188K,0.6138,64,64,4096,3.6624,0.3004,12191.19,3328.72,300416,7.71,0.1676,167.594,1.1002,0.3305,0.557906,199040,0.199,18400.32,5024.12,0.729,0.842017,167.595
