config_label	seed_id	test_peakval
category	seed	fraction
category axis	one of 8 matched seeds	§5d per-seed
Corner 1	6554595	0.6080
Corner 1	42	0.6200
Corner 1	12345	0.6090
Corner 1	271828	0.6070
Corner 1	314159	0.6095
Corner 1	1	0.6030
Corner 1	2	0.6100
Corner 1	3	0.6045
Corner 2	6554595	0.5990
Corner 2	42	0.6015
Corner 2	12345	0.5980
Corner 2	271828	0.5955
Corner 2	314159	0.5960
Corner 2	1	0.5990
Corner 2	2	0.5960
Corner 2	3	0.6080
Corner 3'	6554595	0.6180
Corner 3'	42	0.6165
Corner 3'	12345	0.6150
Corner 3'	271828	0.6125
Corner 3'	314159	0.6095
Corner 3'	1	0.6130
Corner 3'	2	0.6140
Corner 3'	3	0.6115
