config,label,family,params_band,accuracy,array_x,array_y,n_pe,tl_energy_mJ,tl_latency_ms,tl_power_mW,tl_throughput_ips,tl_cycles,tl_pj_per_real_mac,tl_edp_mJ_ms,ss_cycles,ss_latency_ms,ss_throughput_ips,cycle_ratio_ss_over_tl
config4,Config 4,Mambino,106K,0.5993,8,8,64,4.0468,4.8008,842.94,208.3,4800768,13.172,19.4275,9684622,9.6846,103.26,2.02
config4,Config 4,Mambino,106K,0.5993,16,16,256,3.2054,1.5935,2011.58,627.56,1593472,10.433,5.1077,4113382,4.1134,243.11,2.58
config4,Config 4,Mambino,106K,0.5993,32,32,1024,2.784,0.5951,4678.44,1680.47,595072,9.062,1.6567,2171522,2.1715,460.51,3.65
config4,Config 4,Mambino,106K,0.5993,64,64,4096,2.5736,0.2472,10412.47,4045.83,247168,8.377,0.6361,1264264,1.2643,790.97,5.11
config5,Config 5,Pure S5,106K,0.5917,8,8,64,4.2164,5.3251,791.79,187.79,5325056,12.372,22.4523,7505614,7.5056,133.23,1.41
config5,Config 5,Pure S5,106K,0.5917,16,16,256,3.0995,1.3313,2328.11,751.13,1331328,9.095,4.1264,2475046,2.475,404.03,1.86
config5,Config 5,Pure S5,106K,0.5917,32,32,1024,2.596,0.3985,6515.04,2509.64,398464,7.618,1.0344,914114,0.9141,1093.96,2.29
config5,Config 5,Pure S5,106K,0.5917,64,64,4096,2.3443,0.1325,17695.88,7548.31,132480,6.879,0.3106,541384,0.5414,1847.12,4.09
corner1,Corner 1,Pure S5,188K,0.6089,8,8,64,5.439,6.8979,788.5,144.97,6897920,12.321,37.5177,8763078,8.7631,114.12,1.27
corner1,Corner 1,Pure S5,188K,0.6089,16,16,256,4.0476,1.8556,2181.29,538.9,1855616,9.169,7.5109,2703390,2.7034,369.91,1.46
corner1,Corner 1,Pure S5,188K,0.6089,32,32,1024,3.3515,0.5295,6329.18,1888.45,529536,7.592,1.7748,1155514,1.1555,865.42,2.18
corner1,Corner 1,Pure S5,188K,0.6089,64,64,4096,3.0038,0.1652,18177.47,6051.51,165248,6.804,0.4964,604800,0.6048,1653.44,3.66
corner2,Corner 2,Pure S5,188K,0.5991,8,8,64,6.2466,7.9465,786.08,125.84,7946496,12.283,49.6385,10155198,10.1552,98.47,1.28
corner2,Corner 2,Pure S5,188K,0.5991,16,16,256,4.6624,2.1833,2135.51,458.02,2183296,9.168,10.1795,3279126,3.2791,304.96,1.5
corner2,Corner 2,Pure S5,188K,0.5991,32,32,1024,3.8428,0.6115,6284.69,1635.44,611456,7.556,2.3497,1188274,1.1883,841.56,1.94
corner2,Corner 2,Pure S5,188K,0.5991,64,64,4096,3.4331,0.1857,18484.83,5384.22,185728,6.751,0.6376,612984,0.613,1631.36,3.3
corner3p,Corner 3',Mambino,188K,0.6138,8,8,64,6.077,7.4222,818.76,134.73,7422208,12.793,45.1047,12334206,12.3342,81.08,1.66
corner3p,Corner 3',Mambino,188K,0.6138,16,16,256,4.7684,2.4454,1949.9,408.92,2445440,10.039,11.6607,4917462,4.9175,203.36,2.01
corner3p,Corner 3',Mambino,188K,0.6138,32,32,1024,4.0308,0.8081,4988.23,1237.53,808064,8.486,3.2572,2445682,2.4457,408.88,3.03
corner3p,Corner 3',Mambino,188K,0.6138,64,64,4096,3.6624,0.3004,12191.19,3328.72,300416,7.71,1.1003,1335864,1.3359,748.58,4.45
