LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 375, 0, 1.3333333333333333, 62.5, 1.0080645161290323,
1, 55295, 0, 14.815082738041415, 100.0, 11.594202898550442,
2, 63487, 0, 25.80685809693323, 100.0, 20.77922077922092,
3, 22271, 0, 36.78326074266984, 50.0, 33.862433862433946,
4, 22271, 0, 73.56652148533968, 100.0, 67.72486772486789,
5, 44543, 0, 73.56486990099455, 100.0, 67.72486772486816,
6, 50255, 0, 81.50432792756939, 83.33333333333334, 80.92302829144936,
7, 33503, 0, 61.12885413246575, 62.5, 60.692271218587024,
8, 50255, 0, 81.50432792756939, 83.33333333333334, 80.92302829144938,
9, 134015, 0, 97.80397716673507, 100.0, 97.10763394973934,
