LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 381, 0, 0.08202099737532809, 15.625, 0.061515748031496065,
1, 12671, 0, 4.040722910583222, 100.0, 3.0651340996168606,
2, 13183, 0, 7.767579458393385, 100.0, 5.947955390334581,
3, 10175, 0, 5.031941031941032, 12.5, 4.199475065616798,
4, 10175, 0, 10.063882063882064, 25.0, 8.398950131233596,
5, 10175, 0, 20.127764127764127, 50.0, 16.79790026246719,
6, 4475, 0, 57.20670391061452, 62.5, 55.62798783137766,
7, 4475, 0, 28.60335195530726, 31.25, 27.81399391568883,
8, 4475, 0, 57.20670391061452, 62.5, 55.62798783137766,
9, 8951, 0, 91.52050050273712, 100.0, 89.00478053020426,
