LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 9.0, 729.0, 256, 1.0, 721.0, 1280, 15.0, 729.0, 160, -525.0, -1.0, 128, -263.0, -1.0, 1280, 735.0, 754.0, 160,
1, 9.0, 122873.0, 262144, 1.0, 122858.0, 262144, 15.0, 122879.0, 262144, -525.0, -1.0, 1024, -13105.0, 122853.0, 262144, 61455.0, 139263.0, 262151,
2, 9.0, 155641.0, 524288, 1.0, 155618.0, 262144, 15.0, 155647.0, 524288, -525.0, -1.0, 2048, -13105.0, 155613.0, 262144, 38927.0, 172031.0, 524295,
3, 9.0, 38393.0, 262144, 1.0, 38258.0, 16384, 15.0, 38399.0, 262144, -525.0, -1.0, 1024, -1835.0, -1.0, 16384, 19215.0, 54783.0, 262151,
4, 9.0, 76793.0, 524288, 1.0, 76658.0, 32768, 15.0, 76799.0, 524288, -525.0, -1.0, 2048, -3408.0, -1.0, 32768, 19215.0, 93183.0, 524295,
5, 9.0, 153593.0, 1048576, 1.0, 153458.0, 65536, 15.0, 153599.0, 1048576, -525.0, -1.0, 4096, -6815.0, -1.0, 65536, 19215.0, 169983.0, 1048583,
6, 9.0, 165593.0, 1310720, 1.0, 163538.0, 5120, 15.0, 165599.0, 1310720, -26202.0, 165562.0, 1310720, -525.0, -1.0, 5120, 16575.0, 181983.0, 1310727,
7, 9.0, 99349.0, 655360, 1.0, 97298.0, 2560, 15.0, 99359.0, 786432, -4194.0, -1.0, 40960, -263.0, -1.0, 2560, 16575.0, 115743.0, 786439,
8, 9.0, 165593.0, 1310720, 1.0, 163538.0, 5120, 15.0, 165599.0, 1310720, -8388.0, -1.0, 81920, -525.0, -1.0, 5120, 16575.0, 181983.0, 1310727,
9, 9.0, 529913.0, 4194304, 1.0, 527858.0, 16384, 15.0, 529919.0, 4194304, -26202.0, 529822.0, 4194304, -1835.0, -1.0, 16384, 16575.0, 546303.0, 4194311,
