config,array_x,array_y,n_pe,total_cycles,latency_ms,throughput_ips
config4,8,8,64,9684622,9.6846,103.26
config4,16,16,256,4113382,4.1134,243.11
config4,32,32,1024,2171522,2.1715,460.51
config4,64,64,4096,1264264,1.2643,790.97
config5,8,8,64,7505614,7.5056,133.23
config5,16,16,256,2475046,2.475,404.03
config5,32,32,1024,914114,0.9141,1093.96
config5,64,64,4096,541384,0.5414,1847.12
corner1,8,8,64,8763078,8.7631,114.12
corner1,16,16,256,2703390,2.7034,369.91
corner1,32,32,1024,1155514,1.1555,865.42
corner1,64,64,4096,604800,0.6048,1653.44
corner2,8,8,64,10155198,10.1552,98.47
corner2,16,16,256,3279126,3.2791,304.96
corner2,32,32,1024,1188274,1.1883,841.56
corner2,64,64,4096,612984,0.613,1631.36
corner3p,8,8,64,12334206,12.3342,81.08
corner3p,16,16,256,4917462,4.9175,203.36
corner3p,32,32,1024,2445682,2.4457,408.88
corner3p,64,64,4096,1335864,1.3359,748.58
