shape_id,dtype,M,N,K,array_x,array_y,n_pe,cycles,util_pct
M128_N2048_K16_complex_complex,complex_complex,128,2048,16,8,8,64,76799,85.33
M128_N2048_K16_complex_complex,complex_complex,128,2048,16,16,16,256,22271,73.57
M128_N2048_K16_complex_complex,complex_complex,128,2048,16,32,32,1024,14207,28.83
M128_N2048_K16_complex_complex,complex_complex,128,2048,16,64,64,4096,10175,10.06
M128_N2048_K32_complex_complex,complex_complex,128,2048,32,8,8,64,153599,85.33
M128_N2048_K32_complex_complex,complex_complex,128,2048,32,16,16,256,44543,73.56
M128_N2048_K32_complex_complex,complex_complex,128,2048,32,32,32,1024,14207,57.66
M128_N2048_K32_complex_complex,complex_complex,128,2048,32,64,64,4096,10175,20.13
M128_N2048_K8_complex_complex,complex_complex,128,2048,8,8,8,64,38399,85.34
M128_N2048_K8_complex_complex,complex_complex,128,2048,8,16,16,256,22271,36.78
M128_N2048_K8_complex_complex,complex_complex,128,2048,8,32,32,1024,14207,14.42
M128_N2048_K8_complex_complex,complex_complex,128,2048,8,64,64,4096,10175,5.03
M16_N2048_K128_complex_real,complex_real,16,2048,128,8,8,64,155647,42.11
M16_N2048_K128_complex_real,complex_real,16,2048,128,16,16,256,63487,25.81
M16_N2048_K128_complex_real,complex_real,16,2048,128,32,32,1024,28159,14.55
M16_N2048_K128_complex_real,complex_real,16,2048,128,64,64,4096,13183,7.77
M1_N10_K128_real_real,real_real,1,10,128,8,8,64,735,2.72
M1_N10_K128_real_real,real_real,1,10,128,16,16,256,375,1.33
M1_N10_K128_real_real,real_real,1,10,128,32,32,1024,379,0.33
M1_N10_K128_real_real,real_real,1,10,128,64,64,4096,381,0.08
M2048_N128_K128_real_real,real_real,2048,128,128,8,8,64,529919,98.94
M2048_N128_K128_real_real,real_real,2048,128,128,16,16,256,134015,97.8
M2048_N128_K128_real_real,real_real,2048,128,128,32,32,1024,34271,95.61
M2048_N128_K128_real_real,real_real,2048,128,128,64,64,4096,8951,91.52
M2048_N128_K20_real_real,real_real,2048,128,20,8,8,64,99359,82.45
M2048_N128_K20_real_real,real_real,2048,128,20,16,16,256,33503,61.13
M2048_N128_K20_real_real,real_real,2048,128,20,32,32,1024,8567,59.76
M2048_N128_K20_real_real,real_real,2048,128,20,64,64,4096,4475,28.6
M2048_N128_K40_real_real,real_real,2048,128,40,8,8,64,165599,98.94
M2048_N128_K40_real_real,real_real,2048,128,40,16,16,256,50255,81.5
M2048_N128_K40_real_real,real_real,2048,128,40,32,32,1024,17135,59.76
M2048_N128_K40_real_real,real_real,2048,128,40,64,64,4096,4475,57.21
M2048_N40_K128_real_real,real_real,2048,40,128,8,8,64,165599,98.94
M2048_N40_K128_real_real,real_real,2048,40,128,16,16,256,50255,81.5
M2048_N40_K128_real_real,real_real,2048,40,128,32,32,1024,17135,59.76
M2048_N40_K128_real_real,real_real,2048,40,128,64,64,4096,4475,57.21
M8_N2048_K128_complex_real,complex_real,8,2048,128,8,8,64,122879,26.67
M8_N2048_K128_complex_real,complex_real,8,2048,128,16,16,256,55295,14.82
M8_N2048_K128_complex_real,complex_real,8,2048,128,32,32,1024,26111,7.84
M8_N2048_K128_complex_real,complex_real,8,2048,128,64,64,4096,12671,4.04
