shape,dtype,M,N,K,scalesim_cycles,scalesim_util_pct,timeloop_cycles,timeloop_util_pct,ratio_ss_over_tl
M1_N10_K128_real_real,real_real,1,10,128,375,1.3333333333333333,128,3.91,2.93
M8_N2048_K128_complex_real,complex_real,8,2048,128,55295,14.815082738041415,16384,50.0,3.37
M16_N2048_K128_complex_real,complex_real,16,2048,128,63487,25.80685809693323,16384,100.0,3.87
M128_N2048_K8_complex_complex,complex_complex,128,2048,8,22271,36.78326074266984,8192,100.0,2.72
M128_N2048_K16_complex_complex,complex_complex,128,2048,16,22271,73.56652148533968,16384,100.0,1.36
M128_N2048_K32_complex_complex,complex_complex,128,2048,32,44543,73.56486990099455,32768,100.0,1.36
M2048_N40_K128_real_real,real_real,2048,40,128,50255,81.50432792756939,65536,62.5,0.77
M2048_N128_K20_real_real,real_real,2048,128,20,33503,61.12885413246575,20480,100.0,1.64
M2048_N128_K40_real_real,real_real,2048,128,40,50255,81.50432792756939,40960,100.0,1.23
M2048_N128_K128_real_real,real_real,2048,128,128,134015,97.80397716673507,131072,100.0,1.02
