config,accuracy,array_x,array_y,n_pe,energy_mJ,latency_ms,power_mW,throughput_ips,total_cycles,pj_per_real_mac,acc_per_mJ,acc_x_throughput_per_W,edp_mJ_ms,ed2p_mJ_ms2,acc_over_edp
config4,0.5993,8,8,64,4.0468,4.8008,842.94,208.3,4800768,13.172,0.1481,148.094,19.4279,93.2694,0.030847
config4,0.5993,16,16,256,3.2054,1.5935,2011.58,627.56,1593472,10.433,0.187,186.966,5.1078,8.1393,0.11733
config4,0.5993,32,32,1024,2.784,0.5951,4678.44,1680.47,595072,9.062,0.2153,215.265,1.6568,0.9859,0.36173
config4,0.5993,64,64,4096,2.5736,0.2472,10412.47,4045.83,247168,8.377,0.2329,232.862,0.6362,0.1573,0.942008
config5,0.5917,8,8,64,4.2164,5.3251,791.79,187.79,5325056,12.372,0.1403,140.335,22.4528,119.5631,0.026353
config5,0.5917,16,16,256,3.0995,1.3313,2328.11,751.13,1331328,9.095,0.1909,190.903,4.1264,5.4934,0.143395
config5,0.5917,32,32,1024,2.596,0.3985,6515.04,2509.64,398464,7.618,0.2279,227.927,1.0345,0.4123,0.571964
config5,0.5917,64,64,4096,2.3443,0.1325,17695.88,7548.31,132480,6.879,0.2524,252.394,0.3106,0.0412,1.904901
corner1,0.6089,8,8,64,5.439,6.8979,788.5,144.97,6897920,12.321,0.112,111.951,37.5177,258.7932,0.01623
corner1,0.6089,16,16,256,4.0476,1.8556,2181.29,538.9,1855616,9.169,0.1504,150.433,7.5107,13.9369,0.081071
corner1,0.6089,32,32,1024,3.3515,0.5295,6329.18,1888.45,529536,7.592,0.1817,181.678,1.7746,0.9397,0.343116
corner1,0.6089,64,64,4096,3.0038,0.1652,18177.47,6051.51,165248,6.804,0.2027,202.711,0.4962,0.082,1.227058
corner2,0.5991,8,8,64,6.2466,7.9465,786.08,125.84,7946496,12.283,0.0959,95.908,49.6386,394.4532,0.012069
corner2,0.5991,16,16,256,4.6624,2.1833,2135.51,458.02,2183296,9.168,0.1285,128.495,10.1794,22.2247,0.058854
corner2,0.5991,32,32,1024,3.8428,0.6115,6284.69,1635.44,611456,7.556,0.1559,155.902,2.3499,1.4369,0.25495
corner2,0.5991,64,64,4096,3.4331,0.1857,18484.83,5384.22,185728,6.751,0.1745,174.504,0.6375,0.1184,0.939725
corner3p,0.6138,8,8,64,6.077,7.4222,818.76,134.73,7422208,12.793,0.101,101.004,45.1047,334.7762,0.013608
corner3p,0.6138,16,16,256,4.7684,2.4454,1949.9,408.92,2445440,10.039,0.1287,128.724,11.6606,28.5149,0.052639
corner3p,0.6138,32,32,1024,4.0308,0.8081,4988.23,1237.53,808064,8.486,0.1523,152.277,3.2573,2.6322,0.188439
corner3p,0.6138,64,64,4096,3.6624,0.3004,12191.19,3328.72,300416,7.71,0.1676,167.594,1.1002,0.3305,0.557906
