config,label,family,params_band,accuracy,array_x,array_y,n_pe,total_cycles,latency_ms,energy_mJ,power_mW,throughput_ips,total_real_macs,pj_per_real_mac,acc_per_mJ,acc_x_throughput_per_W,edp_mJ_ms,state_sram_reads,state_sram_writes
config4,Config 4,Mambino,106K,0.5993,8,8,64,4849696,4.8497,0.24401,50.315,206.198,307234048,0.7942,2.45602,2456.019,1.18339,196608,196608
config4,Config 4,Mambino,106K,0.5993,16,16,256,1474568,1.4746,0.22598,153.251,678.165,307234048,0.7355,2.65202,2652.018,0.33322,196608,196608
config4,Config 4,Mambino,106K,0.5993,32,32,1024,630788,0.6308,0.21702,344.045,1585.319,307234048,0.7064,2.7615,2761.502,0.13689,196608,196608
config4,Config 4,Mambino,106K,0.5993,64,64,4096,290818,0.2908,0.21255,730.854,3438.577,307234048,0.6918,2.81963,2819.631,0.06181,196608,196608
config5,Config 5,Pure S5,106K,0.5917,8,8,64,5373984,5.374,0.2414,44.92,186.082,340788480,0.7084,2.45112,2451.117,1.29728,262144,262144
config5,Config 5,Pure S5,106K,0.5917,16,16,256,1343496,1.3435,0.22138,164.777,744.327,340788480,0.6496,2.67281,2672.814,0.29742,262144,262144
config5,Config 5,Pure S5,106K,0.5917,32,32,1024,335876,0.3359,0.21143,629.502,2977.289,340788480,0.6204,2.7985,2798.503,0.07102,262144,262144
config5,Config 5,Pure S5,106K,0.5917,64,64,4096,151554,0.1516,0.20648,1362.452,6598.308,340788480,0.6059,2.86558,2865.584,0.03129,262144,262144
corner1,Corner 1,Pure S5,188K,0.6089,8,8,64,6946848,6.9468,0.3047,43.862,143.95,441451776,0.6902,1.99836,1998.356,2.11671,131072,131072
corner1,Corner 1,Pure S5,188K,0.6089,16,16,256,1736712,1.7367,0.27876,160.512,575.801,441451776,0.6315,2.18429,2184.287,0.48413,131072,131072
corner1,Corner 1,Pure S5,188K,0.6089,32,32,1024,565252,0.5653,0.26589,470.398,1769.122,441451776,0.6023,2.29002,2290.016,0.1503,131072,131072
corner1,Corner 1,Pure S5,188K,0.6089,64,64,4096,208898,0.2089,0.25947,1242.107,4787.025,441451776,0.5878,2.34667,2346.673,0.0542,131072,131072
corner2,Corner 2,Pure S5,188K,0.5991,8,8,64,7995424,7.9954,0.34761,43.476,125.072,508560640,0.6835,1.72349,1723.488,2.77928,262144,262144
corner2,Corner 2,Pure S5,188K,0.5991,16,16,256,2392072,2.3921,0.32067,134.057,418.048,508560640,0.6306,1.86826,1868.256,0.76707,262144,262144
corner2,Corner 2,Pure S5,188K,0.5991,32,32,1024,598020,0.598,0.30436,508.942,1672.185,508560640,0.5985,1.96841,1968.407,0.18201,262144,262144
corner2,Corner 2,Pure S5,188K,0.5991,64,64,4096,217090,0.2171,0.29624,1364.573,4606.384,508560640,0.5825,2.02238,2022.38,0.06431,262144,262144
corner3p,Corner 3',Mambino,188K,0.6138,8,8,64,7471136,7.4711,0.35022,46.877,133.848,475006208,0.7373,1.7526,1752.604,2.61655,196608,196608
corner3p,Corner 3',Mambino,188K,0.6138,16,16,256,2523144,2.5231,0.32528,128.917,396.331,475006208,0.6848,1.88702,1887.018,0.82072,196608,196608
corner3p,Corner 3',Mambino,188K,0.6138,32,32,1024,892932,0.8929,0.30994,347.107,1119.906,475006208,0.6525,1.98037,1980.365,0.27676,196608,196608
corner3p,Corner 3',Mambino,188K,0.6138,64,64,4096,356354,0.3564,0.3023,848.302,2806.198,475006208,0.6364,2.03046,2030.462,0.10772,196608,196608
