epoch,S5-0_val_mean,S5-0_val_std,S5-0_test_mean,S5-0_test_std,Mambino-0_val_mean,Mambino-0_val_std,Mambino-0_test_mean,Mambino-0_test_std,Mambino-G_val_mean,Mambino-G_val_std,Mambino-G_test_mean,Mambino-G_test_std,S5-Dense_val_mean,S5-Dense_val_std,S5-Dense_test_mean,S5-Dense_test_std
1,0.3323,0.0194,0.3538,0.0229,0.3311,0.0215,0.3511,0.0259,0.3372,0.0124,0.3609,0.0138,0.3516,0.0111,0.3674,0.0108
2,0.3935,0.0137,0.4036,0.0097,0.3607,0.0234,0.3714,0.0273,0.3772,0.0127,0.3936,0.0122,0.4134,0.0255,0.4225,0.0219
3,0.4381,0.0302,0.4555,0.0309,0.4039,0.0240,0.4246,0.0194,0.3997,0.0333,0.4169,0.0347,0.4816,0.0168,0.4917,0.0181
4,0.4731,0.0139,0.4862,0.0164,0.4384,0.0207,0.4558,0.0257,0.4466,0.0283,0.4668,0.0224,0.4961,0.0063,0.5217,0.0108
5,0.4686,0.0263,0.4931,0.0248,0.4517,0.0276,0.4636,0.0326,0.4571,0.0293,0.4744,0.0331,0.5051,0.0375,0.5314,0.0348
6,0.4809,0.0130,0.5040,0.0139,0.4598,0.0486,0.4825,0.0539,0.4748,0.0395,0.4936,0.0394,0.5207,0.0198,0.5402,0.0304
7,0.5039,0.0359,0.5211,0.0279,0.4851,0.0152,0.5067,0.0142,0.4914,0.0260,0.5147,0.0201,0.5099,0.0366,0.5308,0.0297
8,0.5061,0.0252,0.5284,0.0216,0.5037,0.0112,0.5231,0.0159,0.4946,0.0219,0.5104,0.0286,0.5245,0.0245,0.5459,0.0255
9,0.4841,0.0418,0.5062,0.0388,0.4932,0.0369,0.5103,0.0322,0.5037,0.0217,0.5214,0.0204,0.5341,0.0184,0.5599,0.0103
10,0.5096,0.0377,0.5339,0.0358,0.5054,0.0232,0.5237,0.0261,0.4866,0.0312,0.5073,0.0310,0.5379,0.0144,0.5571,0.0108
11,0.5142,0.0185,0.5349,0.0194,0.4938,0.0303,0.5137,0.0343,0.5109,0.0190,0.5299,0.0204,0.5409,0.0139,0.5648,0.0093
12,0.5172,0.0162,0.5372,0.0202,0.5101,0.0193,0.5268,0.0213,0.5148,0.0258,0.5344,0.0278,0.5319,0.0171,0.5512,0.0107
13,0.5107,0.0270,0.5326,0.0322,0.4998,0.0283,0.5129,0.0232,0.5144,0.0256,0.5331,0.0164,0.5413,0.0325,0.5596,0.0328
14,0.5176,0.0112,0.5387,0.0141,0.4929,0.0326,0.5202,0.0259,0.5204,0.0154,0.5471,0.0127,0.5537,0.0185,0.5734,0.0171
15,0.5304,0.0148,0.5470,0.0200,0.5162,0.0137,0.5416,0.0218,0.5194,0.0203,0.5451,0.0179,0.5552,0.0178,0.5697,0.0158
16,0.5262,0.0258,0.5508,0.0224,0.5100,0.0321,0.5337,0.0362,0.5282,0.0126,0.5508,0.0169,0.5661,0.0167,0.5823,0.0129
17,0.5302,0.0170,0.5546,0.0198,0.5211,0.0272,0.5398,0.0296,0.5248,0.0295,0.5448,0.0298,0.5422,0.0332,0.5578,0.0328
18,0.5454,0.0111,0.5688,0.0107,0.5231,0.0117,0.5447,0.0151,0.5351,0.0117,0.5562,0.0103,0.5637,0.0194,0.5872,0.0150
19,0.5368,0.0191,0.5616,0.0116,0.5170,0.0301,0.5379,0.0385,0.5363,0.0145,0.5589,0.0162,0.5757,0.0108,0.5907,0.0084
20,0.5411,0.0208,0.5600,0.0230,0.5317,0.0180,0.5491,0.0202,0.5387,0.0286,0.5498,0.0332,0.5774,0.0100,0.5881,0.0102
21,0.5553,0.0107,0.5735,0.0108,0.5356,0.0220,0.5581,0.0192,0.5363,0.0331,0.5519,0.0384,0.5759,0.0186,0.5891,0.0169
22,0.5509,0.0155,0.5720,0.0144,0.5414,0.0152,0.5601,0.0186,0.5505,0.0076,0.5713,0.0078,0.5788,0.0100,0.5923,0.0102
23,0.5523,0.0111,0.5771,0.0091,0.5391,0.0153,0.5574,0.0185,0.5479,0.0143,0.5676,0.0067,0.5841,0.0089,0.5960,0.0087
24,0.5571,0.0103,0.5796,0.0086,0.5479,0.0284,0.5688,0.0296,0.5576,0.0117,0.5749,0.0132,0.5866,0.0120,0.6003,0.0053
25,0.5561,0.0274,0.5717,0.0214,0.5448,0.0220,0.5606,0.0181,0.5548,0.0138,0.5727,0.0115,0.5853,0.0126,0.5977,0.0079
