Layer,M,N,K,dtype,batch,repeat,per_mac_flops,total_real_macs,source_op
gemm_0001,2048,128,20,real_real,1,1,2,5242880,root
gemm_0002,16,2048,128,complex_real,1,1,4,8388608,root
gemm_0003,128,2048,32,complex_complex,1,1,8,33554432,root
gemm_0004,16,2048,128,complex_real,1,1,4,8388608,root
gemm_0005,128,2048,32,complex_complex,1,1,8,33554432,root
gemm_0006,16,2048,128,complex_real,1,1,4,8388608,root
gemm_0007,128,2048,32,complex_complex,1,1,8,33554432,root
gemm_0008,16,2048,128,complex_real,1,1,4,8388608,root
gemm_0009,128,2048,32,complex_complex,1,1,8,33554432,root
gemm_0010,16,2048,128,complex_real,1,1,4,8388608,root
gemm_0011,128,2048,32,complex_complex,1,1,8,33554432,root
gemm_0012,16,2048,128,complex_real,1,1,4,8388608,root
gemm_0013,128,2048,32,complex_complex,1,1,8,33554432,root
gemm_0014,16,2048,128,complex_real,1,1,4,8388608,root
gemm_0015,128,2048,32,complex_complex,1,1,8,33554432,root
gemm_0016,16,2048,128,complex_real,1,1,4,8388608,root
gemm_0017,128,2048,32,complex_complex,1,1,8,33554432,root
gemm_0018,1,10,128,real_real,1,1,2,1280,root
