Layer,M,N,K,dtype,batch,repeat,per_mac_flops,total_real_macs,source_op
gemm_0001,2048,128,20,real_real,1,1,2,5242880,root
gemm_0002,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0003,128,2048,16,complex_complex,1,1,8,16777216,root
gemm_0004,2048,128,128,real_real,1,1,2,33554432,root
gemm_0005,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0006,128,2048,16,complex_complex,1,1,8,16777216,root
gemm_0007,2048,128,128,real_real,1,1,2,33554432,root
gemm_0008,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0009,128,2048,16,complex_complex,1,1,8,16777216,root
gemm_0010,2048,128,128,real_real,1,1,2,33554432,root
gemm_0011,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0012,128,2048,16,complex_complex,1,1,8,16777216,root
gemm_0013,2048,128,128,real_real,1,1,2,33554432,root
gemm_0014,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0015,128,2048,16,complex_complex,1,1,8,16777216,root
gemm_0016,2048,128,128,real_real,1,1,2,33554432,root
gemm_0017,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0018,128,2048,16,complex_complex,1,1,8,16777216,root
gemm_0019,2048,128,128,real_real,1,1,2,33554432,root
gemm_0020,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0021,128,2048,16,complex_complex,1,1,8,16777216,root
gemm_0022,2048,128,128,real_real,1,1,2,33554432,root
gemm_0023,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0024,128,2048,16,complex_complex,1,1,8,16777216,root
gemm_0025,2048,128,128,real_real,1,1,2,33554432,root
gemm_0026,1,10,128,real_real,1,1,2,1280,root
