Layer,M,N,K,dtype,batch,repeat,per_mac_flops,total_real_macs,source_op
gemm_0001,2048,128,20,real_real,1,1,2,5242880,root
gemm_0002,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0003,128,2048,8,complex_complex,1,1,8,8388608,root
gemm_0004,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0005,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0006,128,2048,16,complex_complex,1,1,8,16777216,root
gemm_0007,2048,40,128,real_real,1,1,2,10485760,root
gemm_0008,2048,128,40,real_real,1,1,2,10485760,root
gemm_0009,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0010,128,2048,8,complex_complex,1,1,8,8388608,root
gemm_0011,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0012,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0013,128,2048,16,complex_complex,1,1,8,16777216,root
gemm_0014,2048,40,128,real_real,1,1,2,10485760,root
gemm_0015,2048,128,40,real_real,1,1,2,10485760,root
gemm_0016,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0017,128,2048,8,complex_complex,1,1,8,8388608,root
gemm_0018,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0019,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0020,128,2048,16,complex_complex,1,1,8,16777216,root
gemm_0021,2048,40,128,real_real,1,1,2,10485760,root
gemm_0022,2048,128,40,real_real,1,1,2,10485760,root
gemm_0023,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0024,128,2048,8,complex_complex,1,1,8,8388608,root
gemm_0025,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0026,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0027,128,2048,16,complex_complex,1,1,8,16777216,root
gemm_0028,2048,40,128,real_real,1,1,2,10485760,root
gemm_0029,2048,128,40,real_real,1,1,2,10485760,root
gemm_0030,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0031,128,2048,8,complex_complex,1,1,8,8388608,root
gemm_0032,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0033,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0034,128,2048,16,complex_complex,1,1,8,16777216,root
gemm_0035,2048,40,128,real_real,1,1,2,10485760,root
gemm_0036,2048,128,40,real_real,1,1,2,10485760,root
gemm_0037,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0038,128,2048,8,complex_complex,1,1,8,8388608,root
gemm_0039,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0040,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0041,128,2048,16,complex_complex,1,1,8,16777216,root
gemm_0042,2048,40,128,real_real,1,1,2,10485760,root
gemm_0043,2048,128,40,real_real,1,1,2,10485760,root
gemm_0044,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0045,128,2048,8,complex_complex,1,1,8,8388608,root
gemm_0046,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0047,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0048,128,2048,16,complex_complex,1,1,8,16777216,root
gemm_0049,2048,40,128,real_real,1,1,2,10485760,root
gemm_0050,2048,128,40,real_real,1,1,2,10485760,root
gemm_0051,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0052,128,2048,8,complex_complex,1,1,8,8388608,root
gemm_0053,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0054,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0055,128,2048,16,complex_complex,1,1,8,16777216,root
gemm_0056,2048,40,128,real_real,1,1,2,10485760,root
gemm_0057,2048,128,40,real_real,1,1,2,10485760,root
gemm_0058,1,10,128,real_real,1,1,2,1280,root
