Layer,M,N,K,dtype,batch,repeat,per_mac_flops,total_real_macs,source_op
gemm_0001,2048,128,20,real_real,1,1,2,5242880,root
gemm_0002,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0003,128,2048,8,complex_complex,1,1,8,8388608,root
gemm_0004,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0005,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0006,128,2048,16,complex_complex,1,1,8,16777216,root
gemm_0007,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0008,128,2048,8,complex_complex,1,1,8,8388608,root
gemm_0009,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0010,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0011,128,2048,16,complex_complex,1,1,8,16777216,root
gemm_0012,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0013,128,2048,8,complex_complex,1,1,8,8388608,root
gemm_0014,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0015,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0016,128,2048,16,complex_complex,1,1,8,16777216,root
gemm_0017,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0018,128,2048,8,complex_complex,1,1,8,8388608,root
gemm_0019,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0020,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0021,128,2048,16,complex_complex,1,1,8,16777216,root
gemm_0022,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0023,128,2048,8,complex_complex,1,1,8,8388608,root
gemm_0024,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0025,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0026,128,2048,16,complex_complex,1,1,8,16777216,root
gemm_0027,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0028,128,2048,8,complex_complex,1,1,8,8388608,root
gemm_0029,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0030,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0031,128,2048,16,complex_complex,1,1,8,16777216,root
gemm_0032,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0033,128,2048,8,complex_complex,1,1,8,8388608,root
gemm_0034,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0035,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0036,128,2048,16,complex_complex,1,1,8,16777216,root
gemm_0037,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0038,128,2048,8,complex_complex,1,1,8,8388608,root
gemm_0039,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0040,8,2048,128,complex_real,1,1,4,4194304,root
gemm_0041,128,2048,16,complex_complex,1,1,8,16777216,root
gemm_0042,1,10,128,real_real,1,1,2,1280,root
